concessionaria;cod_agente_arrecadador;nome_agente_arrecadador;nome_grupo_loja;uf_cef;cidade_cef;uf_ag_nao_financeiro;mes_transacao;status;bu_description;estado;profit_center;cod_area;dat_tra;data_venda;midia;valor_face;qtde_recargas;valor_total;val_tarifa;val_tarifa_total;plano_tarifario;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       
TNE;110002239;M4U APP - ADESAO PIX;;;;;202410;Efetuada;;PE;J25PE081G;81;01/10/2024 00:00:00;01/10/2024;Mobile APP - Pix;40;1;40;;;PLANO TIM CONTROLE SMART 6 0;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         
TSU;110000442;M4U - ADESAO CREDITO VISA;;;;;202410;Efetuada;;SC;J33SC048G;48;01/10/2024 00:00:00;01/10/2024;Mobile APP;60;1;60;;;PLANO TIM BETA;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        
TSU;110002051;RV - DIGITAIS 2;;;;;202410;Efetuada;;PR;J33PR044G;44;01/10/2024 00:00:00;01/10/2024;PDV;20;1;20;;;PLANO TIM CONTROLE C EXPRESS 6 0;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       
TSU;110002054;RV - IS2B CELCOIN 2;;;;;202410;Efetuada;;PR;J33PR045G;45;01/10/2024 00:00:00;01/10/2024;PDV;20;1;20;;;PLANO TIM CONTROLE A ESP;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           
TMG;110002262;M4U CPT - RECO CREDITO MASTER;;;;;202410;Efetuada;;MG;J06MG033G;33;01/10/2024 00:00:00;01/10/2024;Mobile APP;30;2;60;;;PLANO TIM PRE TOP;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 
TSU;0010400000;CAIXA - CEF;;;;;202410;Efetuada;;PR;J33PR044G;44;01/10/2024 00:00:00;01/10/2024;Loterica;15;1;15;;;;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     
TRJ;110000402;M4U - PROGRAMADA CREDITO VISA;;;;;202410;Efetuada;UN Rio;RJ;J30RJ021;21;01/10/2024 00:00:00;01/10/2024;Desconhecido;40;1;40;;;PLANO TIM MAIS CONTROLE B EXPRESS 6 0;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                      
TNE;110002031;DBR DIGITAIS;;;;;202410;Efetuada;;AL;J25AL082G;82;01/10/2024 00:00:00;01/10/2024;PDV;20;1;20;;;PLANO TIM CONTROLE REDES SOCIAIS 6 0;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                      
TMG;110000023;M4U - RECO CREDITO MASTER;;;;;202410;Efetuada;;MG;J06MG034G;34;01/10/2024 00:00:00;01/10/2024;Mobile APP;15;1;15;;;PLANO TIM CONTROLE A PLUS 6 0;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         
TCO;110001331;MERCADO PAGO;;;;;202410;Efetuada;UN Brasília;GO;J30GO064;64;01/10/2024 00:00:00;01/10/2024;Web;40;4;160;;;PLANO TIM PRE TOP;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              
TRJ;110001431;MULTIDISPLAY (M4U) DB NA;;;;;202410;Efetuada;UN Rio;RJ;J30RJ024;24;01/10/2024 00:00:00;01/10/2024;PDV;15;1;15;;;PLANO TIM CONTROLE B PLUS 6 0;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            
TNE;0100103024;RV;;;;;202410;Efetuada;;PE;J25PE087G;87;01/10/2024 00:00:00;01/10/2024;PDV;20;7;140;;;PLANO TIM BETA;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    
TRJ;110002269;M4U CPT - DEBITO VISA;;;;;202410;Efetuada;UN Rio;RJ;J30RJ021;21;01/10/2024 00:00:00;01/10/2024;Mobile APP;30;1;30;;;PLANO TIM PRE TOP;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    
TSP_C;0034100000;ITAU;;;;;202410;Efetuada;UN SP;SP;J30SP013;13;01/10/2024 00:00:00;01/10/2024;Web;30;2;60;;;PLANO TIM BETA;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             
TSP_I;110002111;TELECOMNET - NUBANK 2;;;;;202410;Efetuada;UN SP;SP;J30SP019;19;01/10/2024 00:00:00;01/10/2024;PDV;20;2;40;;;PLANO TIM MAIS CONTROLE B EXPRESS 6 0;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                      
TSU;110000470;LIBERTYWEB-REDECARD-HIPER;;;;;202410;Efetuada;UN Sul;RS;J30RS053;53;01/10/2024 00:00:00;01/10/2024;Desconhecido;47,2;11;519,2;;;PLANO TIM MAIS CONTROLE B EXPRESS 6 0;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    
TMG;110002239;M4U APP - ADESAO PIX;;;;;202410;Efetuada;;MG;J06MG034G;34;01/10/2024 00:00:00;01/10/2024;Mobile APP - Pix;20;1;20;;;PLANO TIM CONTROLE J EXPRESS 6 0;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     
TSP_I;110002239;M4U APP - ADESAO PIX;;;;;202410;Efetuada;UN SP;SP;J30SP014;14;01/10/2024 00:00:00;01/10/2024;Mobile APP - Pix;12;2;24;;;PLANO TIM PRE TOP;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              
TNE;110002111;TELECOMNET - NUBANK 2;;;;;202410;Efetuada;;PE;J25PE087G;87;01/10/2024 00:00:00;01/10/2024;PDV;20;1;20;;;PLANO TIM CONTROLE G EXPRESS 5 0;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 
TSP_C;0100103077;BM LOGISTICA;;;;;202410;Efetuada;UN SP;SP;J30SP013;13;01/10/2024 00:00:00;01/10/2024;PDV;15;1;15;;;PLANO TIM CONTROLE REDES SOCIAIS 6 0;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               
TCO;0100103524;REDEFLEX;;;;;202410;Efetuada;UN Brasília;MT;J30MT065;65;01/10/2024 00:00:00;01/10/2024;PDV;30;2;60;;;PLANO TIM CONTROLE LIGACOES ILIMITADAS 6 0;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         
TMG;110000426;CIELO - CREDITO DEMAIS BANDEIR;;;;;202410;Efetuada;;MG;J06MG037G;37;01/10/2024 00:00:00;01/10/2024;Web;15;1;15;;;PLANO TIM PRE TOP;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       
TNE;110000027;M4U - RECORRENTE CREDITO ELO;;;;;202410;Efetuada;;RN;J25RN084G;84;01/10/2024 00:00:00;01/10/2024;Mobile APP;50;1;50;;;PLANO TIM PRE TOP;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  
TNO;110001331;MERCADO PAGO;;;;;202410;Efetuada;UN Norte;AP;J30AP096;96;01/10/2024 00:00:00;01/10/2024;Web;40;1;40;;;PLANO TIM PRE BOLETO B;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             
TSP_I;110002211;TELECOMNET  INTER 2;;;;;202410;Efetuada;UN SP;SP;J30SP018;18;01/10/2024 00:00:00;01/10/2024;PDV;20;2;40;;;PLANO TIM BETA;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               
TNO;110000474;LIBERTYWEB-CIELO-ELO;;;;;202410;Efetuada;UN Norte;MA;J30MA098;98;01/10/2024 00:00:00;01/10/2024;Desconhecido;64,99;2;129,98;;;PLANO TIM CONTROLE L EXPRESS 6 0;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           
TRJ;110002240;M4U APP - RECO CREDITO VISA;;;;;202410;Efetuada;UN Rio;RJ;J30RJ024;24;01/10/2024 00:00:00;01/10/2024;Mobile APP;12;2;24;;;PLANO TIM PRE TOP;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              
TBA;110002266;M4U CPT - ADESAO CREDITO ELO;;;;;202410;Efetuada;;BA;J06BA071G;71;01/10/2024 00:00:00;01/10/2024;Mobile APP;20;1;20;;;PLANO TIM PRE TOP;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  
TMG;110002237;M4U APP - ADES CREDITO MASTER;;;;;202410;Efetuada;;MG;J06MG033G;33;01/10/2024 00:00:00;01/10/2024;Mobile APP;30;2;60;;;PLANO TIM PRE TOP;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 
TBA;110002262;M4U CPT - RECO CREDITO MASTER;;;;;202410;Efetuada;;BA;J06BA071G;71;01/10/2024 00:00:00;01/10/2024;Mobile APP;20;1;20;;;PLANO TIM CONTROLE LIGACOES ILIMITADAS 6 0;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        
TMG;0034100000;ITAU;;;;;202410;Efetuada;;MG;J06MG038G;38;01/10/2024 00:00:00;01/10/2024;Web;50;1;50;;;PLANO TIM CONTROLE SMART FLEX;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    
TCO;0034100000;ITAU;;;;;202410;Efetuada;UN Brasília;AC;J03AC068;68;01/10/2024 00:00:00;01/10/2024;Web;20;1;20;;;PLANO TIM PRE BOLETO A;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 
TRJ;110001891;PAGBANK;;;;;202410;Efetuada;UN Rio;RJ;J30RJ022;22;01/10/2024 00:00:00;01/10/2024;Web;30;1;30;;;PLANO TIM BETA;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            
TBA;110000421;LIBERTYEXP-CIELO-VISA;;;;;202410;Efetuada;;BA;J06BA074G;74;01/10/2024 00:00:00;01/10/2024;Desconhecido;37;1;37;;;PLANO TIM MAIS CONTROLE A EXPRESS 6 0;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   
TNO;110000413;M4U - ADESAO PIX;;;;;202410;Efetuada;UN Norte;MA;J30MA099;99;01/10/2024 00:00:00;01/10/2024;Mobile APP - Pix;15;5;75;;;PLANO TIM PRE TOP;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 
TSP_I;0003300000;SANTANDER;;;;;202410;Efetuada;UN SP;SP;J30SP017;17;01/10/2024 00:00:00;01/10/2024;Web;40;6;240;;;PLANO TIM PRE TOP;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    
TNE;110002241;M4U APP - RECO CREDITO MASTER;;;;;202410;Efetuada;;RN;J25RN084G;84;01/10/2024 00:00:00;01/10/2024;Mobile APP;30;4;120;;;PLANO TIM BETA;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   
TBA;110002247;M4U APP - DEBITO ELO;;;;;202410;Efetuada;;SE;J06SE079G;79;01/10/2024 00:00:00;01/10/2024;Mobile APP;20;1;20;;;PLANO TIM PRE TOP;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          
TSP_I;0000100000;BANCO DO BRASIL;;;;;202410;Efetuada;UN SP;SP;J30SP015;15;01/10/2024 00:00:00;01/10/2024;Web;100;1;100;;;PLANO TIM PRE TOP;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             
TNE;0010400000;CAIXA - CEF;;;;;202410;Efetuada;;PE;J25PE087G;87;01/10/2024 00:00:00;01/10/2024;Terminal de Caixa;15;4;60;;;PLANO TIM BETA;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              
TCO;110002111;TELECOMNET - NUBANK 2;;;;;202410;Efetuada;UN Brasília;RO;J03RO069;69;01/10/2024 00:00:00;01/10/2024;PDV;25;5;125;;;PLANO TIM PRE BOLETO B;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                
TSP_I;0100103215;RCA;;;;;202410;Efetuada;UN SP;SP;J30SP016;16;01/10/2024 00:00:00;01/10/2024;PDV;20;3;60;;;PLANO TIM PRE TOP;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           
TSU;110000423;LIBERTYWEB-CIELO-VISA;;;;;202410;Efetuada;;PR;J33PR044G;44;01/10/2024 00:00:00;01/10/2024;Desconhecido;5;2;10;;;PLANO TIM CONTROLE C EXPRESS 6 0;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         
TMG;110000464;LIBERTYEXP-CIELO-MASTER;;;;;202410;Efetuada;;MG;J06MG031G;31;01/10/2024 00:00:00;01/10/2024;Desconhecido;24,9;2;49,8;;;PLANO TIM MAIS CONTROLE A EXPRESS 6 0;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             
TSU;110000222;BM TNO;;;;;202410;Efetuada;;SC;J33SC048G;48;01/10/2024 00:00:00;01/10/2024;PDV;50;1;50;;;PLANO TIM PRE TOP;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               
